forecast_horizon_months,model_id,n_predictions,n_countries,date_min,date_max,rmse,mae,bias,corr,directional_accuracy,active_directional_accuracy,predicted_positive_rate,actual_positive_rate,mean_actual_return,mean_predicted_return,strategy_mean_monthly_return,strategy_monthly_vol,strategy_annualized_sharpe,rmse_improvement_vs_historical_mean
2,ols_predictive,8233,19,2020-01-01,2026-03-01,0.08498949036332203,0.06385638686863897,-0.010013018750235775,0.02178491366548571,0.5623709461921536,0.5623709461921536,0.6787319324669014,0.611320296368274,0.01546878419098355,0.005455765440747773,0.008025108982956284,0.08499064626242196,0.3270923826567825,-3.726894001920833e-05
2,always_positive,8233,19,2020-01-01,2026-03-01,0.9881043689531614,0.9845312158090165,0.9845312158090165,,0.611320296368274,0.611320296368274,1.0,0.611320296368274,0.01546878419098355,1.0,0.01546878419098355,0.08395551823403416,0.6382598955655168,-10.626628072852426
3,random_forest_panel,8182,19,2020-01-01,2026-02-01,0.09713177298518924,0.07338507594917827,-0.013729723129765984,0.29857176065209784,0.6329748227817159,0.6329748227817159,0.7283060376436079,0.6101197751161085,0.023796784247963186,0.010067061118197206,0.032119438579539666,0.09803042470991737,1.1350047639796157,0.047403898941500766
3,distributed_lag,8182,19,2020-01-01,2026-02-01,0.09790046904133343,0.07436168648521889,-0.015966790615344797,0.29415050397741227,0.6338303593253484,0.6338303593253484,0.6790515766316304,0.6101197751161085,0.023796784247963186,0.00782999363261839,0.03044592731313904,0.09856301544450967,1.0700543759153684,0.039865100426069056
3,elastic_net_panel,8182,19,2020-01-01,2026-02-01,0.1006560875650221,0.07649071403366832,-0.01616941689975609,0.14320929692809356,0.6010755316548522,0.6010755316548522,0.6748961134197018,0.6101197751161085,0.023796784247963186,0.007627367348207096,0.021737671969842085,0.10084193632017953,0.7467280709582729,0.01284004589452381
3,historical_mean,8182,19,2020-01-01,2026-02-01,0.10196532704391612,0.07767421258923997,-0.01669912076228326,0.06523088071834848,0.560865314104131,0.560865314104131,0.6601075531654852,0.6101197751161085,0.023796784247963186,0.007097663485679928,0.01192996150988596,0.102466084739509,0.4033197817598708,0.0
3,ols_predictive,8182,19,2020-01-01,2026-02-01,0.1019814991972649,0.07768793525114454,-0.016725707861457082,0.06479719384393245,0.560254216572965,0.560254216572965,0.65876313859692,0.6101197751161085,0.023796784247963186,0.007071076386506103,0.012078213643884107,0.10244871526107241,0.40840101591450473,-0.00015860443758319853
3,always_positive,8182,19,2020-01-01,2026-02-01,0.9813501179536003,0.976203215752037,0.976203215752037,,0.6101197751161085,0.6101197751161085,1.0,0.6101197751161085,0.023796784247963186,1.0,0.023796784247963186,0.10037597104350966,0.8212570986010319,-8.624351202550805
4,random_forest_panel,8096,19,2020-01-01,2026-01-01,0.10608984115987428,0.08194605747266225,-0.021889035682184296,0.3216651696093455,0.6750247035573123,0.6750247035573123,0.7434535573122529,0.6539031620553359,0.03529772429351291,0.013408688611328615,0.040013526064412094,0.10750363119663812,1.2893603567078509,0.055632614860008145
4,distributed_lag,8096,19,2020-01-01,2026-01-01,0.10883933022825748,0.08463843423081518,-0.025600336225082933,0.2514696946253666,0.6379693675889329,0.6379693675889329,0.665143280632411,0.6539031620553359,0.03529772429351291,0.009697388068429978,0.03235327688459494,0.11005170813485317,1.0183852718904811,0.031157813374848575
4,elastic_net_panel,8096,19,2020-01-01,2026-01-01,0.11111636074993472,0.08636147068177207,-0.02571610232620152,0.14400303644770915,0.6143774703557312,0.6143774703557312,0.6855237154150198,0.6539031620553359,0.03529772429351291,0.009581621967311391,0.02446235505889874,0.11207009491181198,0.7561346649727242,0.010888640227536883
4,historical_mean,8096,19,2020-01-01,2026-01-01,0.11233958608613707,0.0874494976421446,-0.026198257405991805,0.09051245354664667,0.5851037549407114,0.5851037549407114,0.6641551383399209,0.6539031620553359,0.03529772429351291,0.009099466887521106,0.018277909163837213,0.11324323831986034,0.5591197814120205,0.0
4,ols_predictive,8096,19,2020-01-01,2026-01-01,0.11237436306336769,0.08747905004617955,-0.026282648072234713,0.09009513956396178,0.584856719367589,0.584856719367589,0.6619318181818182,0.6539031620553359,0.03529772429351291,0.009015076221278196,0.018806372868081407,0.11315667602097926,0.5757255242733125,-0.00030957010295518117
4,always_positive,8096,19,2020-01-01,2026-01-01,0.9708566652197143,0.964702275706487,0.964702275706487,,0.6539031620553359,0.6539031620553359,1.0,0.6539031620553359,0.03529772429351291,1.0,0.03529772429351291,0.1091429505202664,1.1203188401356292,-7.642159892553849
5,random_forest_panel,7979,19,2020-01-01,2025-12-01,0.11680787191201128,0.09224938921221179,-0.02867512394408391,0.3255819202893304,0.6656222584283745,0.6656222584283745,0.7465847850607845,0.6779044993106905,0.04446940029771296,0.015794276353629046,0.04546461450022189,0.11885382906796407,1.32510703068535,0.06048946398495303
5,distributed_lag,7979,19,2020-01-01,2025-12-01,0.121375817622725,0.09603625661460843,-0.03388738414466307,0.21085103737699423,0.6257676400551447,0.6257676400551447,0.6563479132723399,0.6779044993106905,0.04446940029771296,0.010582016153049885,0.03429091890566329,0.12254548843746076,0.9693317075992336,0.023748505923555707
5,elastic_net_panel,7979,19,2020-01-01,2025-12-01,0.1231935351072132,0.09747009271769524,-0.03400203781915337,0.1359932008075783,0.610101516480762,0.610101516480762,0.6547186364206041,0.6779044993106905,0.04446940029771296,0.010467362478559587,0.028831459005595958,0.1239435792099746,0.805811033896827,0.009128217922231063
5,historical_mean,7979,19,2020-01-01,2025-12-01,0.1243284321296217,0.09835461785408768,-0.034381538574651635,0.09652103485243448,0.5854117057275348,0.5854117057275348,0.640305802732172,0.6779044993106905,0.04446940029771296,0.010087861723061316,0.021956708974628633,0.1253441932710649,0.6068112852873482,0.0
5,ols_predictive,7979,19,2020-01-01,2025-12-01,0.1243831394297767,0.09839155655979076,-0.03449867165717462,0.09592052551651548,0.5874169695450557,0.5874169695450557,0.6355433011655596,0.6779044993106905,0.04446940029771296,0.009970728640538338,0.02217534643235607,0.125305697661262,0.6130419831365091,-0.00044002244070728835
5,always_positive,7979,19,2020-01-01,2025-12-01,0.962940529451505,0.955530599702287,0.955530599702287,,0.6779044993106905,0.6779044993106905,1.0,0.6779044993106905,0.04446940029771296,1.0,0.04446940029771296,0.11922976261375504,1.2920139906220285,-6.745135307807689
